country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,12659.8337800396,0.900110232116664,29.4779534120864,46.3769702756087,55.9231992151745,34294.8949314302
Argentina,2167.7143839742,0.681712399689327,11.9136965509954,14.7137808435275,25.9309089022757,3382.90081240977
Bahrain,20212.8427838943,1.26117467858632,21.5549449917804,56.0284684464097,72.0630183506862,14542.0028039078
Brunei Darussalam,8642.36733923223,1.08525685071922,19.5950032207342,35.9692157314985,69.289251837004,18758.9808946915
Cyprus,3900.2153984872,1.00516760140341,30.09,56.6399587554734,58.1703213612513,20110.1201722943
Hong Kong SAR China,5713.88245082308,18.3586758869846,52.2000433497404,159.034001793631,168.131305856992,23977.0194516698
Croatia,3157.65765765766,0.0770735621813632,22.75,46.3290314645735,38.8901120677894,7805.88141833108
Kuwait,16900.8198023562,0.61426425553771,22.4029383804612,34.4641480339244,52.0922408354945,22841.601722717
Latvia,2493.93016908112,0.853797130843001,26.98,48.6717892425906,36.1256144704816,5631.26191489751
Malta,4872.27220496661,5.52126083683431,31.64,78.5337986529442,78.8316624802721,12844.5879877177
Oman,3551.25100887813,0.00569247015952729,7.25574294536556,32.7955567310235,49.75836118391,9070.49469850756
Qatar,16724.91076306,0.453018456980665,19.242336421002,28.4673663075073,61.6975823867948,35221.5254649054
Russian Federation,5478.14413000497,0.236748234969434,8.29886061553908,23.8782872312785,35.24998177498,2975.13277834925
Saudi Arabia,6250.47976300254,0.201213591627603,8.00158289090878,24.115016752667,46.1180541056462,9186.31038843539
Singapore,8113.63857295616,9.80312430812881,53.8379432881911,177.629858256832,205.16154839351,23574.0025570507
Trinidad and Tobago,4770.05604134412,0.0688544305177791,25.9717641091609,37.9070173086608,52.1296780122604,8750.39369708924
Venezuela RB,2627.24009499275,0.453525630030121,7.49996346522407,16.7236179697545,33.8533894084396,3233.9561063252
Austria,7695.08003708217,7.38118684080536,42.7,41.9117468805087,44.5803275509179,32102.9263831301
Belgium,8411.90065701741,11.9685471855289,49.97,63.4785443002097,68.7248455302987,30702.5134923725
Canada,17191.1541861346,14.2854289479388,64.2,33.1877613401842,37.0198797423118,28026.0060130447
Switzerland,8195.1208345659,10.7540884108953,65.1,41.5324620528886,48.2312374080989,47960.5635961176
Chile,2919.97059240138,2.20206008405531,25.4737788864723,31.2001229488322,33.9222527056063,4948.748179815
Czech Republic,6074.84914162236,0.33996985058379,34.3,48.266202288121,47.061702585676,9741.05838376821
Germany,7009.72649196861,5.33486226268814,55.9,28.9672763356713,32.6356194041632,30318.5164137544
Denmark,6602.63637972505,13.344206130095,76.26,37.0822780008505,43.8774011641544,40458.7706402839
Spain,5676.14049089491,5.05030671272165,39.93,27.6640629667244,25.4473086803274,21495.7074076474
Estonia,5158.60277810202,6.74155793447026,45.32,65.9607978387078,57.4639305627407,7165.68990862081
Finland,16442.8869747904,9.42029416407885,69.22,30.7714638217577,37.2661955940859,32816.160880214
