country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,11604.1090168869,8.20130805669079,63,69.6456553236032,78.8678887008838,45720.0178983596
Argentina,2752.12682130046,7.85042465003413,28.1126234799907,16.5413533266536,19.7291019231999,10054.1117717481
Bahrain,18467.8479660362,8.38842405007715,51.95,63.305228249075,82.5774337999584,23043.0253174017
Cyprus,4573.77368826659,13.6735218723801,42.31,60.9543913788933,50.1756636805084,34950.3512981385
Hong Kong SAR China,5883.03774181494,27.777299391234,66.7,198.60315188344,208.776699324797,31515.5278747405
Croatia,3877.99503349639,12.1094894964045,44.24,46.5173936177862,38.4773573780865,15887.4191991522
Lithuania,3733.62649539699,18.7732994836653,55.22,68.7102210341843,57.1388811578068,14961.7239743846
Malta,4836.59396305135,23.3388625367161,50.08,89.2804548100962,87.7786910510634,20895.7805043413
Qatar,14461.1587646026,7.81222178566331,44.3,28.0704890331591,61.3623526215314,82990.0709631041
Saudi Arabia,6973.380016978,3.9751337670527,36,33.9911288411164,62.1115020331022,19436.8571597589
Singapore,8209.07550522792,22.0926289981017,69,209.38766175798,230.26901938522,39722.1150150725
Uruguay,2586.22336183969,7.30183481252639,39.3,35.005071033393,30.2030239732024,9062.29053539323
Venezuela RB,3071.80255332806,3.96553565977504,25.88,21.0073433732672,30.8216690057259,11224.6467026883
Australia,10749.0634941551,24.5552167823703,71.67,22.3503125365955,19.7507344567566,49650.4175356324
Austria,8206.6974495932,20.7261239906504,72.87,48.9701312367605,53.1549300792244,51386.3784114246
Belgium,8521.49673953426,27.686053061423,66,78.98700523283,79.5021207324835,48561.3563991367
Canada,17518.1368169722,29.4945552425722,76.7,32.7384879712559,34.4682844321964,46400.4418456756
Switzerland,8305.92304197027,33.4022774152359,79.2,52.3843848267561,62.9807300372208,72119.5590259182
Chile,3350.7870387614,8.47936782106357,37.3,39.5346962915471,41.5066849713193,10791.0201852467
Czech Republic,6489.12625740243,16.899862809979,62.97,61.1958471324763,63.3644771832863,22649.3793400813
Germany,7187.76400909623,27.2370614478579,78,37.5437643177145,43.5175643661895,45632.8367808436
Denmark,6534.12385018916,36.4927774292481,85.02,50.5716957609453,53.8477714351836,64181.9946654657
Spain,6025.77275684571,20.1929183851225,59.6,30.441934157374,25.3168991056318,35578.736189717
Estonia,6364.56783013858,22.5305028876143,70.58,70.752225788868,66.8233299012779,18087.6786567571
Finland,16349.7979353706,30.4232727130508,83.67,41.4338886279045,45.0779769863353,53401.3148725198
France,7649.53905235558,28.5040046447939,70.68,29.1376105418744,27.3862264198211,45413.065712185
United Kingdom,6015.72686068947,28.2228987121946,78.39,30.6715393352758,27.7149488863648,45167.7352263141
Greece,5748.83571081021,13.5973241332292,38.2,36.3497388020707,23.3659691337448,31700.4941221594
Hungary,3988.76769393042,17.6245647795384,61,79.6012967453423,79.9555877410766,15598.3228874203
Ireland,6340.73304549415,20.480543388415,65.34,71.641171251489,80.3659438476547,60968.8376337523
Iceland,50063.9543309369,34.2660167941201,91,43.3085074354942,41.2122394605148,55446.7630336537
Israel,7134.00284588441,23.6955221091604,59.39,39.2528405426638,38.6248659691198,29268.7315561871
Italy,5757.94361240301,18.8333765909708,44.53,27.7401638058233,26.9516197047595,40659.6704202487
Japan,8052.57568540484,23.6552096202376,75.4,17.517153013721,17.7111637792834,37865.6180313874
Korea Rep.,8791.28592960736,32.3283627862222,81,49.9721410436398,49.9614030773599,20474.8874684752
Luxembourg,15937.7877826665,29.3858119061788,82.23,158.624025584649,191.224998334333,112477.061131841
Netherlands,7226.06962242103,35.172880006917,87.42,63.6037773241018,71.9467311739337,56628.7511722595
Norway,24866.1343077867,33.014835045123,90.57,28.9916634041867,45.9468484443728,96880.5096146393
