country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,10462.6149757242,10.3739322726877,84.9999915049492,75.3791167119985,97.9149769293722,41587.5128060251
Argentina,2954.61071783345,12.5309517550436,55.8,13.7160134417613,15.4803096289206,14436.6000905096
Bahrain,17395.3210050863,22.4147023850627,88,47.8579575474105,74.3037054139287,23063.1322870426
Brunei Darussalam,9092.2093550869,4.81493700241123,60.2730650423193,31.1794610362944,81.3652047901591,41808.7567763956
Cyprus,4055.59889595618,19.5377477648243,60.6898684001903,51.6614454299625,49.7311591145483,28868.2738161645
Hong Kong SAR China,6026.1929388086,31.5456558466239,72.9,224.431005680248,225.561606217591,36707.6953363363
Croatia,3819.28025348455,21.3404212542908,61.9399731527956,41.1010845619387,41.5743699615077,13235.9790882094
Lithuania,3607.70379811318,25.3948892546326,67.2299893276414,80.8464909647596,81.7076904604671,14333.247422089
Oman,6094.73337410216,3.41955237792626,60,36.4729008322744,63.5942125757581,21533.807603293
Qatar,16183.0777962557,9.02832167934479,69.3,28.7938184576614,75.6221015701639,94236.1349511245
Russian Federation,6617.13624077975,14.6143372995393,63.8,22.272242918538,29.6142457148152,14078.8305693118
Saudi Arabia,8404.51603565725,8.91374407851002,54,29.3214050329648,54.4201394162191,24883.1897146534
Singapore,8689.66945260146,27.0173236708563,72,172.791703752769,195.44084508014,54578.17678341
Trinidad and Tobago,6628.75611499584,15.059378409034,59.5162,38.8516477261312,55.6483422287999,17311.6297006136
Uruguay,2931.91762839394,17.1023779376677,54.453768680746,29.0799707780655,25.8593635742944,15127.3462244258
Venezuela RB,3412.68130842931,6.79927832557753,49.0500830729861,24.2325531281872,26.1710142521782,12771.5950361107
Australia,10398.2030471852,24.8801857454453,79,21.4506716271468,21.3226498426105,67511.8249630025
Austria,8507.1265200639,25.1679239995331,80.0299939169903,51.0552685245345,53.5908825959584,48348.2259628237
Belgium,7986.52366239927,33.3813497985325,80.7199905482042,81.7917876399834,82.2490603368103,44818.045053451
Canada,15614.6092030249,33.5550874967543,83,32.0527536713069,30.2054140718687,52733.4736890102
Switzerland,7886.09430625342,40.1676970224944,85.2,56.6598334081021,67.0546958479469,83295.2586154822
Chile,3810.11818371024,12.4039683445813,61.4181545577569,34.5055491657577,34.3071732139212,15253.3308259569
Czech Republic,6304.57192302954,24.9246462329308,73.4300078241036,71.5743729424917,76.5257092034316,19670.4026149645
Germany,7270.15252302734,33.764081093553,82.3499984738392,40.0424015418742,45.9242881559329,43931.6917088564
Denmark,6038.55230693622,38.9360208369062,92.2600117153012,48.6129852542802,53.9689486543399,57636.1253095393
Spain,5573.40118151359,24.6490346253212,69.8099999420024,28.754082327007,30.3160284999972,28985.3333285441
Estonia,6689.36777611787,27.0772355896986,78.3899259259259,87.3961682174103,88.3940873292623,17132.2272892243
Finland,15687.1915272542,30.4633513458345,89.879997974222,40.924356709194,39.4813632109233,47415.5598711351
France,7343.87848258626,37.5059189517111,81.44,30.6785712403249,28.5218136314173,40850.3523734948
United Kingdom,5452.03083815932,34.5406053841069,87.4799984242111,32.3311086732746,30.2488727690977,41050.7719367539
Greece,5511.06662167641,24.1754181866036,55.0699934418411,32.7214157093814,28.2375155571186,22494.3781859902
Hungary,3918.50619967296,24.017523715204,70.579998153838,80.5580269573502,87.4158493526873,12784.2956083469
Ireland,5664.83180241457,24.3030754672861,76.919992540097,85.137481064191,105.644593171705,48391.3149728058
Iceland,53202.8336596865,34.8056108780576,96.2097995545657,50.5997769969864,56.7302253341535,44377.3739015039
Israel,7188.92611086531,25.3404509867666,70.8,36.0689358938939,36.2444820430708,32514.3673512902
