country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,12571.0177832278,3.11698353508643,40,51.9676896079697,67.5854343932605,40298.5242178562
Argentina,2392.89373072367,2.39786146987618,17.7205833696065,15.8927304772307,20.9037141020049,5694.41924875639
Bahrain,21863.5454560134,2.43674491264692,21.3037335136591,64.4194629552946,83.8940300417306,18418.0726743768
Brunei Darussalam,8538.52977017815,2.20926280874896,36.4663919475782,27.2891694625922,70.1684471590321,26337.957673401
Cyprus,4080.04756988764,3.08506991185238,32.81,56.7264390849538,56.1887732042409,24738.009385173
Hong Kong SAR China,5878.44184817707,24.0564526208675,56.9,182.435336815084,194.65196069753,26649.6365933843
Croatia,3475.9117514633,2.64761417380425,33.14,45.4323052951431,39.2955353805271,10224.2405855179
Kuwait,17126.2287926687,1.08870128388365,25.9261083689107,28.266858814055,63.9766032297715,35694.3817052274
Lithuania,3187.03107994876,7.12189004320944,36.22,61.0963508932313,53.9195520511942,7863.52782712251
Latvia,2777.38198024923,2.72809833544252,46,57.6285379333445,43.1527746426569,7634.19353901268
Malta,4912.90975995087,12.3952674763169,41.24,79.9074150959063,76.8143319770821,14834.4323706421
Oman,3930.76523869606,0.524912531097301,6.68358142020519,31.0601623295122,58.2796418709731,12398.5943454954
Qatar,15983.5301652241,3.11864084787477,24.733493781051,29.660499349131,65.0850448205021,53207.3336473736
Russian Federation,5770.11233595262,1.10398614310498,15.2266731976522,21.5101825251255,35.2030659646294,5323.46603375814
Saudi Arabia,6366.68157863152,0.274596257677227,12.7050359882849,24.9033329514589,57.050742989557,13273.7125503819
Singapore,8507.19677434479,14.5966989038239,61,196.251025585409,226.079434537001,29869.6327635758
Trinidad and Tobago,5142.13147479477,0.832965157028158,28.9767124326784,39.0169047098786,65.8201068711388,12323.2197036
Uruguay,1999.63435257553,1.459751500306,20.0881895579305,28.4736765053376,30.4040198202399,5220.95739601735
Venezuela RB,2854.22211380541,1.33278220745968,12.5529979098299,20.468677012517,39.6586527436252,5435.87225994853
Australia,10458.4501931865,9.82420903421788,63,20.7827566278751,18.0675262041096,33995.8516729703
Austria,7978.04621364883,14.2499870123628,58,45.5312116985423,48.6307815562511,38242.0500749095
Belgium,8509.99707308703,19.133695213588,55.82,69.9726819861803,73.7486742728588,36927.9990776057
Canada,17526.6464471404,21.7157474390362,71.66,33.0621460115828,36.9598996250115,36028.2324902754
Switzerland,8305.37110156291,22.5307777115485,70.1,46.6724299722896,53.9426685747189,54797.5467533557
