country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,10910.8870466943,8.94526385861999,64,73.8086264963738,79.6533178623883,32905.053849322
Argentina,2708.98729200318,8.77238030393087,34,12.9176898303401,17.2651359184321,9277.42594502683
Bahrain,17283.9650594014,11.7086389954504,53,49.4981315443774,68.4655938651118,19166.7082382358
Brunei Darussalam,8768.21328924253,5.07834685598377,49,35.7894601987022,72.7831762889702,27727.0668180036
Cyprus,4608.95417272666,16.1408019601065,49.81,51.8373089495059,47.3391072314491,31673.4577102038
Hong Kong SAR China,5950.83754015604,29.3049024323063,69.4,183.355200708756,191.227757202824,30697.5383861641
Croatia,3711.60769803557,16.4911619267437,50.58,38.2383688958987,34.5231836502843,14142.150761265
Lithuania,3622.29031691009,20.4314802224262,59.76,53.6194811173649,51.9391270772384,11837.1166773601
Latvia,3026.61148851667,21.5265840630543,66.84,44.0665175036272,42.4519427511546,12212.4956320296
Malta,4434.18663343653,26.8771637753268,58.86,79.011371627532,78.7763922954222,19636.0062766561
Oman,5468.71860374436,1.54440632857018,26.8,34.646041719295,50.6361090656963,17518.8333143066
Qatar,14229.3220442309,9.25526922501506,53.1,29.0092868820684,51.4410679071649,61463.9035819678
Russian Federation,6095.3805748492,8.97767642298137,29,20.4969598237716,27.9381012042961,8562.81369695399
Saudi Arabia,7264.52745875507,5.3653451259732,38,37.7697209090451,47.0886206534391,15655.0833675338
Singapore,8125.35087015799,24.8473504485617,69,168.350556353579,191.880167799384,38576.9592330802
Trinidad and Tobago,5714.18194584844,9.8340438466622,44.3,38.5971421739596,52.3462042694239,14508.7706947304
Uruguay,2659.71920097801,9.44771667681913,41.8,26.3063795360634,27.0992157591562,9415.15358273437
Venezuela RB,3033.86646274449,4.90342524797922,32.7,20.4494107887508,18.0715188695789,11534.8406001136
Australia,10791.5469972386,23.6918188532878,74.25,22.4293642504336,22.5313455329337,42702.1982785315
Austria,7977.2771592326,22.4389494572854,73.45,41.9111676084705,44.8958448350807,47654.1938696155
Belgium,7903.02925218402,29.0290368435603,70,66.7992553681267,69.2627744114291,44999.2015813962
Canada,16079.6306212357,30.486524037928,80.3,29.9106513244676,28.4420554598671,40764.1413468899
