country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,11754.3801267866,6.55127250447489,61,64.4140553654625,72.3840975003088,42913.7840342254
Argentina,2437.0086662457,6.6105016412223,25.9466329403819,16.1087501646024,19.7528793307249,8250.24468400083
Bahrain,20775.0485111556,6.61140133268368,32.91,58.1055213402395,79.6795292320647,21167.6187062133
Brunei Darussalam,8625.77745494166,3.04556417785235,44.68,27.8977164991738,67.8527507652301,32707.6680643732
Cyprus,4379.89163154726,9.18196398252273,40.77,58.6312885110253,53.823646700135,30915.4863902681
Hong Kong SAR China,5907.34930526438,27.3828839923239,64.8,193.046458713462,203.721809885895,30593.952467989
Croatia,3737.60144274121,8.85832335660994,41.44,46.2678787502715,39.0003412863392,13544.1886139729
Kuwait,16860.5340521573,1.36990590703427,34.8,28.317117338326,63.4142598446948,45157.1233355754
Lithuania,3564.20678526931,17.5241560734375,49.9,63.4957146349778,50.4171731397659,12298.2055450746
Latvia,3169.07729539954,15.6222645613585,59.17,57.6132887780901,38.545589561343,14064.199072966
Malta,4873.08346692106,20.0606726543092,46.9,91.5748565562501,89.2192627082913,18356.968284457
Oman,4494.65060240964,0.785177016031589,16.68,39.9893707745739,56.4832095316961,16225.6599871528
Qatar,15330.5257622216,7.60747236994982,37,35.8367338498442,60.2773718602663,67612.4940409837
Russian Federation,6286.0505362386,3.41101212686512,24.66,21.5420622610532,30.1640604847184,9101.25670608893
Saudi Arabia,6703.27419740325,2.40440284208476,30,34.9258769574815,59.9374401392842,15947.4057864239
Singapore,8487.12025454387,19.5686238460376,69.9,183.915527310988,214.742278150989,39223.5298636825
Trinidad and Tobago,5668.85110673205,2.70915391896431,32.3,37.1609238205808,65.1566595839449,16530.1537179299
Uruguay,2413.354292986,4.94305029020029,34,30.1199605891974,29.0904872549768,7009.67815983672
Venezuela RB,2985.61736458825,3.10172821119747,20.83,25.0685330535067,31.1305095917443,8325.21658255278
Austria,8185.53509878323,19.5152165148302,69.37,48.3336987230956,52.4851521302341,46586.6486029444
Belgium,8614.49128057446,25.5629253933627,64.44,73.667585323515,77.518699158719,44449.6890600822
Canada,17630.633343639,27.51280960059,73.2,32.1949677501756,34.3197522191711,44328.4753768925
Switzerland,8163.29557600551,31.4696448456993,77.2,50.2696393507158,61.6253429056975,63223.4649178067
Chile,3353.15571849358,7.72567846741103,35.9,31.9609128526141,43.8269598714329,10513.540709255
Czech Republic,6518.21741269978,14.4781540179509,51.93,64.1024536910538,66.5527781975088,18333.9459002641
Germany,7229.08991294766,23.6320710729566,75.16,36.4101174848911,43.0573560521252,41762.9089109916
Denmark,6668.39026644631,34.8152399492936,85.03,48.5022400279659,51.3363123712099,58501.1383160235
Spain,6054.37443809592,18.0363781023345,55.11,31.6987214183476,25.7077350535294,32709.4010383771
Estonia,6277.41146283975,20.17678263823,66.19,72.0936389776554,63.2161614668957,16580.9970419136
Finland,17161.2412833351,30.5540486381907,80.78,39.1791364747245,43.9968057282511,48288.5490978186
France,7519.31201695745,25.3171161692512,66.09,28.4193105716797,27.1283927901443,41600.5839748157
United Kingdom,6102.4130749608,40.6525400210857,75.09,28.3912553782827,25.6434357266522,48319.9319455834
Greece,5642.83693579917,9.19387065049204,35.88,34.9397481693812,22.5150334298124,28548.304446526
Hungary,3976.51897714548,14.4572302800199,53.3,77.9317983454953,78.6110955012577,13781.1407869037
Ireland,6218.76805831948,17.6836139625413,61.158324551,68.6155167637873,77.4670200789333,61218.6187098877
Iceland,36852.5448861557,32.8000341031686,90.6,42.1142970698901,33.3696081806939,68835.3064258705
Israel,7003.24508015209,22.0560606331713,48.1280621948445,41.6725911964243,40.7693070780219,24606.2183363013
Italy,5804.32596356739,17.0161218266534,40.79,27.7734359499248,27.4143548839726,37716.4491260352
Japan,8474.37910641323,22.2422457160813,74.3,16.056000368049,17.7467643659966,34033.7012549361
Korea Rep.,8477.17910322087,30.9211660455281,78.8,38.058339942438,39.1846770759826,23101.5111787845
Luxembourg,16352.321804693,27.0169265201745,78.92,154.695826797058,187.116028614977,102523.39494122
Netherlands,7209.93723726774,33.4917649302603,85.82,62.401659851921,70.9562054707431,50861.0664202826
Norway,24855.00046399,30.8671956416752,86.93,29.8897253922679,43.3042209730703,85128.6575906714
New Zealand,9640.60798333254,20.1529318875223,69.76,29.2399605827478,29.3611783050367,32382.2667084201
Poland,3661.64610383478,10.9298178413882,48.6,42.1269273904951,38.8241896301989,11247.5514811334
Portugal,4890.56018781815,14.4663146740089,42.09,38.6473407926359,31.0057634539006,22780.05624353
Slovak Republic,5272.37078254061,10.1126991826063,61.8,84.6632365060728,83.5403202968139,16006.880759118
Slovenia,7137.82417514898,17.0619001700859,56.74,68.8947616961477,67.5969914031964,23841.3238874423
Sweden,15257.9357531603,30.3553985056482,82.01,41.2817143066854,48.2580656119268,53324.3793724756
United States,13657.4495085431,23.6033992687081,75,16.4610449151398,11.497872408028,48061.5376613353
Benin,77.4033184892756,0.00815389968865884,1.79,28.3355199429694,19.5245731103982,632.993877204685
Ethiopia,39.4600363783954,0.00128790512385843,0.37,31.8152893262898,12.631231912752,243.628845463447
Cambodia,100.22798954016,0.0614666689168074,0.49,72.9421788190143,65.3259680507156,629.282877634499
Mozambique,445.713854835837,0.0259027348922062,0.91,38.5959549645932,31.6869597704077,407.677854720064
Nepal,88.7060235188367,0.0422234709473464,1.41,31.7236513622056,12.8557060949924,396.169772792449
Togo,102.879016653159,0.0205833750085264,2.2,54.4913137846145,37.9192864412285,428.401577386218
Tanzania,80.0780232090917,0.00825395267420892,1.6,31.6844089340826,18.9191161299046,538.388895260994
Zimbabwe,700.642316870808,0.119386255745611,10.85,46.3875311295925,37.7853732974542,397.956872258099
Armenia,1740.22636998484,0.13043993040528,6.02125339712607,39.1508144360714,19.1856439468102,3080.97095943572
Bangladesh,200.617101724863,0.0298449237686837,1.8,22.9470478066831,16.9953348464905,543.082263122362
Bolivia,544.829720588357,0.351130620549507,10.4992443168903,34.2662550218096,41.7956566240862,1389.6317502607
Cote d'Ivoire,190.16897947914,0.0557132208754542,1.8,42.2116488063779,47.2259826098979,1078.54154116646
Cameroon,249.133823598786,0.00335119309805025,2.93,24.6053470317518,23.9302331613678,1070.95467461962
Egypt Arab Rep.,1436.07409836698,0.643182972738751,16.03,34.828141783029,30.249731471536,1681.31448106002
Georgia,1609.69829550633,1.05590119647715,8.26,57.9505830686698,31.205715705797,2318.12726272368
Ghana,245.9601347494,0.0719046665848933,3.85,40.8292316808483,24.5250906044049,1099.02231257957
Guatemala,539.657936881764,0.427994408440771,7.3,42.333435207824,25.5654034229829,2472.38807869995
Indonesia,552.03508373317,0.337169559803767,5.78627472934199,25.3935314930811,29.4357184851264,1860.62262569343
India,543.356622439017,0.270038204366725,3.95,24.4452980732634,20.4308943357117,1050.02480112349
Kenya,149.85017666858,0.0469825629715209,7.95,31.975797511236,21.9189912933699,857.925688654194
Kyrgyz Republic,1456.22959532306,0.0606704286877054,14.03,84.145408981259,52.9129788573035,721.768690838857
Sri Lanka,416.188432556515,0.311611044319372,3.88,39.491511973103,29.1149996870361,1614.36392354508
Morocco,720.801260907226,1.55658741101127,21.5,44.8641306993545,35.7485712060287,2389.69488581553
Moldova,1996.41590087534,1.43782207775446,20.45,97.1408454692627,47.4524622329459,1230.43468472032
Nigeria,138.142401411564,0.036412095813694,6.77,30.7343877290457,33.7285210453763,1131.14769462527
Nicaragua,464.133424143884,0.492357028365305,3.9,53.5342245605733,29.0189441628584,1350.58722266164
Pakistan,482.688387673321,0.0275443544599299,6.8,19.7758151541605,13.2146134120422,953.795685975298
Philippines,584.529905679851,0.558253660500636,5.97,43.3586106397746,43.2607982595133,1678.85230927865
Sudan,90.5462229163681,0.105266716757111,8.66,22.6665104997251,21.8865604123274,1081.15932057966
Senegal,180.798387523819,0.320303093480087,6.89,47.8452187510791,25.4462759164216,948.506759183885
El Salvador,899.703896188937,1.46597588875431,6.11,48.2946943282483,25.8827450024621,3358.42125185462
Syrian Arab Republic,1576.21925339026,0.03556479912023,11.5,37.8330308411132,38.6434451434366,2079.98786380715
Tajikistan,2062.53791896094,0.0512584332075896,7.19761951797855,68.6865072391123,20.6190917329449,523.947651220881
