country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,10536.7978511508,9.7138226860529,78,72.5162126986257,90.6117829868633,39778.4897120955
Brunei Darussalam,8657.0549490165,5.70339866965797,56,28.5502961200802,79.6626846215174,41786.5888872866
Cyprus,4270.83296019143,19.0010326794225,56.8598923503507,52.9540087259336,49.5368132381301,31836.6195112171
Hong Kong SAR China,5960.17874314158,32.3968953656375,72.2,221.604090093723,225.454216487544,35142.4879344543
Croatia,3900.60136120405,20.6492080386288,57.7899789891444,40.8678030109415,40.4053676180969,14539.1851762008
Lithuania,3529.91877785355,23.9061688972989,63.6399774002179,77.6153459658915,75.0628054263888,14360.4247889815
Latvia,3264.53882563022,22.0616045741625,69.7499545592245,62.8108134871516,57.8318562162697,13749.2233389893
Malta,4689.28670952367,30.1808817044911,68.0198237885462,88.8985191051869,93.6071967602624,22347.708423805
Oman,5928.96642152671,2.58587914336741,48,34.4269198376847,68.673914707909,21164.3357574377
Qatar,15800.0500672549,8.61378553164945,69,25.7899652577514,71.666026853446,89115.9014908449
Russian Federation,6485.76084470892,12.2943622419229,49,21.7348628897444,30.2693218513755,13323.8833754364
Saudi Arabia,7870.13869943204,6.92819625637136,47.5,29.5705892896262,56.1942524844164,23256.0956126438
Singapore,8657.13679418176,27.1215402076545,71,174.873936599457,201.271619891238,53122.2497341027
Trinidad and Tobago,6389.76917717394,12.926286605025,55.2,40.3414475733496,63.3865077839708,17637.1428143141
Uruguay,2808.3565443155,13.9759999006941,51.4046610563616,26.8564170474939,26.4221494258189,14166.5576672224
Venezuela RB,3336.15030037586,6.15457469121417,40.22,19.6951069871008,29.9430146096987,10754.5928790654
Australia,10712.163961865,24.4145520580518,79.4876977139029,20.129557876643,21.1704957506579,62133.6107826902
Austria,8389.65623299275,24.8752207131837,78.7399930986888,51.1446019275937,53.6634000161983,51130.9690458124
Belgium,8021.36617213433,32.1965792987355,81.6099959955952,80.8022847215825,81.4221602200492,47801.5969046154
Canada,16167.7068658973,32.7150623702896,83,31.762347642448,30.5629785979094,52086.533524627
Switzerland,7928.31705381858,38.8914746310896,85.1930281804854,57.3010333727517,65.7753983019927,88002.6145944266
Chile,3590.30899109108,11.6200128619266,52.2496072877744,34.8965777769033,38.0506221825721,14582.1705192488
Czech Republic,6298.72767835026,23.6461337379184,70.49,67.6681392498527,71.6173139983244,21656.3976406518
