country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
Hong Kong SAR China,5325.73314791326,0.166876096167357,14.5459795803324,123.729697249544,124.265828997442,25808.970952453
Singapore,6965.77714402119,0.267699128666106,19.5907671587693,146.289919917903,167.594950651944,21824.086043512
Belgium,7913.05858037159,0.106858174043833,7.88662270071677,60.2571560559139,63.4994097216281,25465.253257399
Canada,16385.4019617891,0.464490343610713,24.897400303091,38.1370298805419,40.0689633085307,20875.2483089147
France,7015.50125426403,0.0229621736050838,6.31977872175207,23.2099330573987,25.7957897401779,25101.3687369434
Japan,7692.12025316456,0.025545464520523,13.4140408820215,8.91140909369435,10.7774668028521,30969.7380327708
Korea Rep.,4436.17440704043,0.0307765826522384,6.78181546774092,30.5486803019388,42.3567743944517,8133.73124520026
Netherlands,6306.59463434911,0.481256769864479,22.2438276873626,55.5035128805621,61.5347951656992,27450.7191898175
United States,13154.7630268185,0.253871908951715,30.093196588091,12.2749408966805,10.4847880466067,32949.1977640346
Brazil,1800.58840294395,0.00059006676764794,1.47787495863132,9.37518949089698,7.00517403341004,5083.62649492544
Hong Kong SAR China,5268.14500870355,1.28429809047791,21.2306819749994,121.857449690733,127.022285539206,25091.6665997967
Singapore,7187.71313815141,0.784801020241326,24.1554369311712,160.357716483909,177.186240811105,21796.380779552
Austria,6972.18981612858,0.635626847329549,23.0443171023274,38.9386303985433,39.4406992881171,27116.6720799312
Belgium,7944.12980731574,0.224555670230821,13.7722144589561,60.212208121515,64.0247329960652,25391.7353289673
Canada,16625.386895394,1.91348773447787,36.1864400395459,38.4166213336394,41.9863352115347,22109.6039862186
France,7149.29728002587,0.093387057039507,9.12531788860536,23.513111800585,25.7198938472147,24799.2960096043
Iceland,24522.2275498322,0.0290973359772394,41.2945667122702,37.100694980695,32.5667953667954,32271.0262237718
Japan,7816.78262036942,0.172137016347183,21.391290312434,8.58301155548232,10.1733758074815,35004.0612719044
Korea Rep.,4878.83338402692,0.607755179074298,23.5521944496933,29.6531987871471,35.7770336302044,10432.210803657
Portugal,3795.2292796473,0.00289374067328869,14.7423378419006,36.821292686678,26.4718420049616,12474.8221485559
United States,13281.8699827982,0.978713138655499,35.8487244559914,12.9247344684981,10.2682808067057,34620.9288990826
Brazil,1823.54842044784,0.0040696169133558,2.03873218351945,11.3708335889156,9.52487326932637,3476.08082627846
Peru,655.131075704022,0.000292837407846996,1.95249760760468,17.9119476128038,15.4850045566714,1929.98650977295
